"","lhs","rhs","support","confidence","lift","count"
"1","{}","{cloie:earring}",0.225460544404729,0.225460544404729,1,820
"2","{}","{it's sense:earring}",0.21886169920264,0.21886169920264,1,796
"3","{}","{us jewelry house:bracelet}",0.275501787187242,0.275501787187242,1,1002
"4","{}","{us jewelry house:earring}",0.391531481990652,0.391531481990652,1,1424
"5","{}","{us jewelry house:necklace}",0.507561176794061,0.507561176794061,1,1846
"6","{image:necklace}","{us jewelry house:necklace}",0.0222711025570525,0.941860465116279,1.85565899871501,81
"7","{ashley collection:earring}","{us jewelry house:earring}",0.0203464393731097,0.747474747474748,1.90910509590285,74
"8","{ashley collection:earring}","{us jewelry house:necklace}",0.0219961506736321,0.808080808080808,1.59208553574751,80
"9","{tres jolie:necklace}","{us jewelry house:necklace}",0.0219961506736321,0.833333333333333,1.64183820873962,80
"10","{viola:necklace}","{us jewelry house:necklace}",0.0252955732746769,0.968421052631579,1.90798882363004,92
"11","{fashion beyond:necklace}","{us jewelry house:necklace}",0.0228210063238933,0.89247311827957,1.75835575903727,83
"12","{foxy collection:earring}","{us jewelry house:earring}",0.0203464393731097,0.755102040816326,1.92858576014676,74
"13","{lamant:earring}","{us jewelry house:earring}",0.0222711025570525,0.801980198019802,2.04831599733007,81
"14","{m:earring}","{cloie:earring}",0.0225460544404729,0.803921568627451,3.5656862745098,82
"15","{fashion jewelry:earring}","{us jewelry house:earring}",0.0219961506736321,0.808080808080808,2.06389740097605,80
"16","{viola:earring}","{us jewelry house:earring}",0.0233709100907341,0.817307692307692,2.08746353716508,85
"17","{viola:earring}","{us jewelry house:necklace}",0.0203464393731097,0.711538461538462,1.40187723976998,74
"18","{barring:apparel}","{us jewelry house:apparel}",0.0225460544404729,0.493975903614458,3.30863786638266,82
"19","{blue accessories:necklace}","{us jewelry house:necklace}",0.0241957657409953,0.745762711864407,1.46930605799071,88
"20","{sophia collections:necklace}","{us jewelry house:necklace}",0.0228210063238933,0.653543307086614,1.28761484716902,83
"21","{3am:apparel}","{us jewelry house:apparel}",0.0203464393731097,0.486842105263158,3.26085586895415,74
"22","{3am:apparel}","{us jewelry house:necklace}",0.0247456695078361,0.592105263157895,1.16656925357815,90
"23","{core:necklace}","{us jewelry house:earring}",0.0208963431399505,0.542857142857143,1.38649678972713,76
"24","{core:necklace}","{us jewelry house:necklace}",0.0316194665933462,0.821428571428571,1.61838337718619,115
"25","{little charm:necklace}","{fresh:necklace}",0.0200714874896893,0.544776119402985,7.25769504127713,73
"26","{fresh:necklace}","{little charm:necklace}",0.0200714874896893,0.267399267399267,7.25769504127713,73
"27","{little charm:necklace}","{us jewelry house:earring}",0.0208963431399505,0.567164179104478,1.4485787355358,76
"28","{little charm:necklace}","{us jewelry house:necklace}",0.0266703326917789,0.723880597014925,1.42619378729322,97
"29","{garden party:necklace}","{cloie:necklace}",0.0211712950233709,0.6015625,3.74637467893836,77
"30","{garden party:necklace}","{romance:necklace}",0.0244707176244157,0.6953125,3.52698962691771,89
"31","{andante:ring}","{us jewelry house:earring}",0.0230959582073137,0.711864406779661,1.81815368501238,84
"32","{andante:ring}","{us jewelry house:necklace}",0.0228210063238933,0.703389830508475,1.38582275924124,83
"33","{stylist:necklace}","{us jewelry house:earring}",0.0228210063238933,0.588652482269504,1.50346143118974,83
"34","{stylist:necklace}","{us jewelry house:necklace}",0.0269452845751993,0.695035460992908,1.36936293154453,98
"35","{v:earring}","{pomina:earring}",0.0252955732746769,0.657142857142857,4.20040170725584,92
"36","{v:earring}","{it's sense:earring}",0.0252955732746769,0.657142857142857,3.00254845656856,92
"37","{v:earring}","{us jewelry house:earring}",0.0318944184767666,0.828571428571429,2.11623194221509,116
"38","{v:earring}","{us jewelry house:necklace}",0.0239208138575749,0.621428571428571,1.22434220708869,87
"39","{foxy collection:necklace}","{us jewelry house:necklace}",0.0239208138575749,0.617021276595745,1.21565892902423,87
"40","{fresh:bracelet}","{us jewelry house:bracelet}",0.0225460544404729,0.473988439306358,1.72045504366989,82
"41","{fresh:bracelet}","{us jewelry house:earring}",0.0208963431399505,0.439306358381503,1.1220205234786,76
"42","{fresh:bracelet}","{us jewelry house:necklace}",0.0247456695078361,0.520231213872832,1.02496258117849,90
"43","{cloie:bracelet}","{cloie:necklace}",0.0250206213912565,0.659420289855073,4.10669793527894,91
"44","{cloie:bracelet}","{cloie:earring}",0.0239208138575749,0.630434782608696,2.79620890774125,87
"45","{us jewelry house:other}","{us jewelry house:bracelet}",0.0258454770415177,0.327526132404181,1.18883487380639,94
"46","{us jewelry house:other}","{us jewelry house:earring}",0.0329942260104482,0.418118466898955,1.06790510120189,120
"47","{us jewelry house:other}","{us jewelry house:necklace}",0.0439923013472642,0.557491289198606,1.09837259957494,160
"48","{jm:earring}","{core:earring}",0.0219961506736321,0.470588235294118,3.28508524331038,80
"49","{jm:earring}","{dorothy:earring}",0.0211712950233709,0.452941176470588,2.79685408968341,77
"50","{jm:earring}","{cloie:earring}",0.0266703326917789,0.570588235294118,2.53076757532281,97
"51","{jm:earring}","{us jewelry house:earring}",0.0327192741270278,0.7,1.78785112359551,119
"52","{jm:earring}","{us jewelry house:necklace}",0.0258454770415177,0.552941176470588,1.08940794085782,94
"53","{andante:bracelet}","{us jewelry house:bracelet}",0.0291448996425626,0.654320987654321,2.37501540129617,106
"54","{andante:bracelet}","{us jewelry house:earring}",0.0255705251580973,0.574074074074074,1.4662271119434,93
"55","{andante:bracelet}","{us jewelry house:necklace}",0.0266703326917789,0.598765432098765,1.17969115739069,97
"56","{it's sense:necklace}","{cloie:necklace}",0.0250206213912565,0.491891891891892,3.06337467604591,91
"57","{it's sense:necklace}","{cloie:earring}",0.0230959582073137,0.454054054054054,2.01389584706658,84
"58","{it's sense:necklace}","{it's sense:earring}",0.0285949958757218,0.562162162162162,2.5685725926932,104
"59","{it's sense:necklace}","{us jewelry house:earring}",0.0244707176244157,0.481081081081081,1.22871621621622,89
"60","{it's sense:necklace}","{us jewelry house:necklace}",0.0299697552928238,0.589189189189189,1.16082398758455,109
"61","{us jewelry house:accessories}","{us jewelry house:bracelet}",0.0329942260104482,0.512820512820513,1.86140539433953,120
"62","{us jewelry house:accessories}","{us jewelry house:earring}",0.0379433599120154,0.58974358974359,1.50624819936618,138
"63","{us jewelry house:accessories}","{us jewelry house:necklace}",0.0494913390156723,0.769230769230769,1.51554296191349,180
"64","{moment:necklace}","{moment:earring}",0.0217211987902117,0.381642512077295,2.92217645563183,79
"65","{moment:necklace}","{cloie:necklace}",0.0296948034094034,0.521739130434783,3.24925550923169,108
"66","{moment:necklace}","{romance:necklace}",0.0299697552928238,0.526570048309179,2.67103942217641,109
"67","{moment:necklace}","{cloie:earring}",0.0285949958757218,0.502415458937198,2.22839637092023,104
"68","{moment:necklace}","{us jewelry house:earring}",0.0272202364586197,0.478260869565217,1.2215131900342,99
"69","{moment:necklace}","{us jewelry house:necklace}",0.0351938410778114,0.618357487922705,1.21829154039809,128
"70","{crystal avenue:bracelet}","{cloie:earring}",0.0206213912565301,0.398936170212766,1.76942786715101,75
"71","{crystal avenue:bracelet}","{us jewelry house:bracelet}",0.030794610943085,0.595744680851064,2.16239860704124,112
"72","{crystal avenue:bracelet}","{us jewelry house:earring}",0.0316194665933462,0.611702127659574,1.56233190891705,115
"73","{crystal avenue:bracelet}","{us jewelry house:necklace}",0.0283200439923013,0.547872340425532,1.07942129042668,103
"74","{vera:necklace}","{us jewelry house:bracelet}",0.0351938410778114,0.455516014234875,1.65340493390443,128
"75","{vera:necklace}","{us jewelry house:earring}",0.0373934561451746,0.483985765124555,1.23613499140309,136
"76","{vera:necklace}","{us jewelry house:necklace}",0.067088259554578,0.868327402135231,1.71078372782548,244
"77","{premier:earring}","{crystal avenue:earring}",0.0203464393731097,0.377551020408163,2.71374122771638,74
