,lhs,rhs,support,confidence,lift,count
433,us jewelry house:earring,us jewelry house:necklace,0.251306021446247,0.64185393258427,1.26458437313596,914
434,us jewelry house:necklace,us jewelry house:earring,0.251306021446247,0.4951245937161429,1.26458437313596,914
431,us jewelry house:bracelet,us jewelry house:necklace,0.204014297497938,0.740518962075848,1.4589747914788003,742
432,us jewelry house:necklace,us jewelry house:bracelet,0.204014297497938,0.401950162513543,1.4589747914788003,742
429,us jewelry house:bracelet,us jewelry house:earring,0.162496563101457,0.5898203592814371,1.5064442743726,591
430,us jewelry house:earring,us jewelry house:bracelet,0.162496563101457,0.41502808988764,1.5064442743726,591
415,romance:necklace,us jewelry house:necklace,0.15232334341490197,0.772663877266388,1.52230689145062,554
416,us jewelry house:necklace,romance:necklace,0.15232334341490197,0.300108342361864,1.52230689145062,554
425,it's sense:earring,us jewelry house:earring,0.149298872697278,0.6821608040200999,1.74228851420021,543
426,us jewelry house:earring,it's sense:earring,0.149298872697278,0.38132022471910104,1.74228851420021,543
421,us jewelry house:earring,cloie:earring,0.13252680780863302,0.338483146067416,1.50129658810633,482
420,cloie:earring,us jewelry house:earring,0.13252680780863302,0.58780487804878,1.50129658810633,482
427,it's sense:earring,us jewelry house:necklace,0.13225185592521302,0.6042713567839201,1.19053896241772,481
428,us jewelry house:necklace,it's sense:earring,0.13225185592521302,0.26056338028168996,1.19053896241772,481
1518,"us jewelry house:bracelet,us jewelry house:necklace",us jewelry house:earring,0.13197690404179302,0.6469002695417789,1.65223053393501,480
1517,"us jewelry house:bracelet,us jewelry house:earring",us jewelry house:necklace,0.13197690404179302,0.812182741116751,1.60016718821323,480
1519,"us jewelry house:earring,us jewelry house:necklace",us jewelry house:bracelet,0.13197690404179302,0.5251641137855579,1.90620946291225,480
404,us jewelry house:earring,pomina:earring,0.118779213637613,0.303370786516854,1.93912047550404,432
403,pomina:earring,us jewelry house:earring,0.118779213637613,0.7592267135325129,1.93912047550404,432
413,romance:necklace,us jewelry house:earring,0.105306571350014,0.534170153417015,1.36430958425399,383
414,us jewelry house:earring,romance:necklace,0.105306571350014,0.268960674157303,1.36430958425399,383
